user_id,image_index,time,guess,guess_2,answer
230,4,50863,62,60,62
21,18,15712,58,62,60
55,21,12936,45,55,60
8,34,10091,200,159,193
15,17,7890,50,70,79
14,5,5036,75,110,98
35,14,7089,120,110,112
22,7,9446,100,115,85
30,12,14971,60,70,62
18,18,6472,84,97,109
19,1,32371,22,32,37
14,6,4744,25,50,39
8,35,9018,40,49,40
55,22,15364,60,75,71
22,8,8739,50,64,62
38,12,30884,39,40,39
14,7,4462,50,75,85
40,15,29279,136,148,165
15,18,15699,50,70,60
18,19,6343,90,105,139
13,15,27072,80,100,109
21,19,22953,140,164,166
19,2,6584,55,65,73
14,8,4476,75,120,94
8,36,9394,30,35,51
15,19,8343,60,85,84
35,15,24484,90,100,139
22,9,11061,21,30,39
14,9,4412,60,75,77
13,16,9269,70,80,69
19,3,7728,55,65,62
18,20,11383,47,64,60
14,10,4590,75,100,80
15,20,7599,70,90,128
13,17,6843,55,70,60
40,16,23444,120,100,139
21,20,16871,74,80,79
22,10,11889,87,100,98
14,11,4695,200,150,226
13,18,5827,85,110,139
18,21,8551,190,215,166
19,4,8750,72,82,94
88,3,136633,92,79,80
230,5,55369,91,92,94
14,12,4493,20,30,44
15,21,12293,110,140,166
13,19,6671,80,100,84
22,11,9904,67,80,80
18,22,9170,52,65,69
19,5,8885,45,55,44
13,20,10349,110,135,165
45,13,43312,38,42,41
15,22,13935,60,95,109
18,23,7666,220,250,165
22,12,10189,70,85,94
21,21,25119,125,134,139
19,6,9942,90,110,85
13,21,7872,70,90,79
203,13,33223,40,50,41
17,25,25091,35,36,36
15,23,11033,70,108,139
19,7,5862,35,50,39
18,24,7010,90,125,128
54,13,26983,27,28,41
203,14,7160,80,100,112
40,17,48028,70,88,109
13,22,12490,85,125,166
55,23,10619,106,126,139
19,8,10287,110,90,77
17,26,17773,88,96,85
13,23,6300,95,135,128
15,24,16252,50,64,71
203,15,14293,40,60,69
21,22,25912,148,161,165
35,16,78060,161,165,165
19,9,5981,120,150,226
13,24,8457,55,75,71
54,14,15027,112,115,112
55,24,8516,60,66,69
230,6,61290,29,30,29
17,27,14681,70,80,76
203,16,6462,50,70,139
19,10,5918,100,130,98
45,14,46872,90,110,112
40,18,27324,60,72,60
48,13,33320,41,39,41
